"id","ciudad","municipio_id","ip","host","deleted_at","created_at","updated_at","searchtext","status","creado_por_id"
156,"PETATLÁN",456,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'petatlan':1",False,1
157,"CIUDAD ALTAMIRANO",458,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'altamiran':2 'ciud':1",False,1
158,"SAN LUIS ACATLÁN",460,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'acatlan':3 'luis':2 'san':1",False,1
159,"SAN MARCOS",461,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'marc':2 'san':1",False,1
160,"TAXCO DE ALARCÓN",463,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'alarcon':3 'taxc':1",False,1
161,"TÉCPAN DE GALEANA",465,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'galean':3 'tecp':1",False,1
162,"SAN LUIS DE LA LOMA",465,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'lom':5 'luis':2 'san':1",False,1
163,"SAN LUIS SAN PEDRO",465,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'luis':2 'pedr':4 'san':1,3",False,1
164,"TELOLOAPAN",466,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'teloloap':1",False,1
165,"TIXTLA DE GUERRERO",469,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'guerrer':3 'tixtl':1",False,1
166,"TLAPA DE COMONFORT",474,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'comonfort':3 'tlap':1",False,1
167,"TLAPEHUALA",475,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'tlapehual':1",False,1
168,"ZIHUATANEJO",480,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'zihuatanej':1",False,1
169,"APATZINGÁN DE LA CONSTITUCIÓN",1073,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'apatzingan':1 'constitu':4",False,1
170,"COTIJA DE LA PAZ",1113,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'cotij':1 'paz':4",False,1
171,"CUITZEO DEL PORVENIR",1124,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'cuitze':1 'porven':3",False,1
172,"HUETAMO DE NÚÑEZ",1136,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'huetam':1 'nuñez':3",False,1
173,"""JACONA DE PLANCARTE	""",1141,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'jacon':1 'plancart':3",False,1
174,"JIQUILPAN DE JUÁREZ",1145,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'jiquilp':1 'juarez':3",False,1
175,"LA PIEDAD DE CABADAS",1156,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'cab':4 'pied':2",False,1
176,"CIUDAD LÁZARO CÁRDENAS",1158,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'carden':3 'ciud':1 'lazar':2",False,1
177,"LAS GUACAMAYAS",1158,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'guacamay':2",False,1
178,"LOS REYES DE SALGADO",1159,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'rey':2 'salg':4",False,1
179,"MARAVATÍO DE OCAMPO",1180,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'maravati':1 'ocamp':3",False,1
180,"MORELIA",1184,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'moreli':1",False,1
181,"""NUEVA ITALIA DE RUIZ	""",1187,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'itali':2 'nuev':1 'ruiz':4",False,1
182,"PARACHO DE VERDUZCO",1201,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'parach':1 'verduzc':3",False,1
183,"PÁTZCUARO",1205,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'patzcuar':1",False,1
184,"PURUÁNDIRO",1211,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'puruandir':1",False,1
185,"SAHUAYO DE MORELOS",1216,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'morel':3 'sahuay':1",False,1
186,"TANGANCÍCUARO DE ARISTA",1230,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'arist':3 'tangancicuar':1",False,1
187,"TUXPAN",1265,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'tuxp':1",False,1
188,"URUAPAN",1272,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'uruap':1",False,1
189,"YURÉCUARO",1280,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'yurecuar':1",False,1
190,"ZACAPU",1281,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'zacapu':1",False,1
191,"ZAMORA DE HIDALGO",1283,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'hidalg':3 'zamor':1",False,1
192,"ZINAPÉCUARO DE FIGUEROA",1286,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'figuero':3 'zinapecuar':1",False,1
193,"HERÓICA ZITÁCUARO",1289,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'heroic':1 'zitacuar':2",False,1
